id,input_text,perceived_mood,indicators,suggested_reply,suggested_actions,confidence_score
1,Feeling pumped to finish my project tonight,motivated,energy;enthusiastic,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.74
2,I feel overwhelmed with all the tasks,stressed,deadlines;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.71
3,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,परेशान;anxious,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.76
4,Excited to learn new things today,motivated,उत्साहित;drive,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.78
5,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,संभाल;काम,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.75
6,मुझे लगता है कि सब बेकार है,depressed,hopeless;बेकार,I'm here for you — it sounds heavy.,Reach out to a trusted friend or counselor.,0.95
7,"I got an A on my exam, feeling amazing!",happy,joy;खुशी,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.98
8,"Classes were normal today, nothing much happened",neutral,usual;normal,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.96
9,I'm tired all the time and don't want to do anything,depressed,lonely;hopeless,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.77
10,मुझे लगता है कि सब बेकार है,depressed,lonely;hopeless,"मैं सुन रही हूँ, यह कठिन समय है।",Reach out to a trusted friend or counselor.,0.83
11,I don't see the point in anything anymore,depressed,dark;meaningless,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.78
12,Feeling pumped to finish my project tonight,motivated,goal;drive,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.77
13,"Attending usual lectures, nothing new",neutral,normal;usual,Got it — sounds like a steady day.,Reflect on small achievements.,0.79
14,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,deadlines;pressure,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.72
15,"I got an A on my exam, feeling amazing!",happy,friends;खुशी,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.83
16,I don't see the point in anything anymore,depressed,lonely;tired,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.92
17,Working on routine assignments,neutral,सामान्य;normal,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.85
